
2024/10/06 (13:37:25) | ===> btop++ v.1.4.0
2024/10/06 (13:37:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (07:30:55) | ===> btop++ v.1.4.0
2024/10/12 (07:30:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (13:50:56) | ===> btop++ v.1.4.0
2024/10/12 (13:50:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (08:54:22) | ===> btop++ v.1.4.0
2024/10/14 (08:54:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (18:38:58) | ===> btop++ v.1.4.0
2024/11/09 (18:38:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (18:41:16) | ===> btop++ v.1.4.0
2024/11/09 (18:41:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (19:33:34) | ===> btop++ v.1.4.0
2024/11/09 (19:33:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (20:37:15) | ===> btop++ v.1.4.0
2024/11/09 (20:37:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (06:23:33) | ===> btop++ v.1.4.0
2024/11/10 (06:23:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (05:25:31) | ===> btop++ v.1.4.0
2024/11/14 (05:25:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/24 (07:33:48) | ===> btop++ v.1.4.0
2024/11/24 (07:33:48) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/24 (07:44:04) | ERROR: Stall in Runner thread, restarting!

2024/11/24 (08:30:05) | ===> btop++ v.1.4.0
2024/11/24 (08:30:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/02 (21:59:36) | ===> btop++ v.1.4.0
2024/12/02 (21:59:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (20:22:03) | ===> btop++ v.1.4.0
2024/12/18 (20:22:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (20:02:20) | ===> btop++ v.1.4.0
2024/12/22 (20:02:20) | WARNING: Intel GPU: Failed to initialize PMU
